2014-08-26 10:32:35,731 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - DGraphView created as a presentation for view model: 31
2014-08-26 10:32:35,837 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Directed
2014-08-26 10:32:35,845 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Sample1
2014-08-26 10:32:35,850 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Big Labels
2014-08-26 10:32:35,856 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Ripple
2014-08-26 10:32:35,861 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Solid
2014-08-26 10:32:35,868 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Nested Network Style
2014-08-26 10:32:35,873 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Universe
2014-08-26 10:32:35,879 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = default
2014-08-26 10:32:35,885 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = default black
2014-08-26 10:32:35,891 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = Minimal
2014-08-26 10:32:35,893 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: default black
2014-08-26 10:32:35,894 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 4
2014-08-26 10:32:35,899 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Minimal
2014-08-26 10:32:35,900 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 5
2014-08-26 10:32:35,900 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Solid
2014-08-26 10:32:35,901 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 6
2014-08-26 10:32:35,901 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Sample1
2014-08-26 10:32:35,901 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 7
2014-08-26 10:32:35,902 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Ripple
2014-08-26 10:32:35,902 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 8
2014-08-26 10:32:35,903 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Big Labels
2014-08-26 10:32:35,903 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 9
2014-08-26 10:32:35,903 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Nested Network Style
2014-08-26 10:32:35,904 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 10
2014-08-26 10:32:35,904 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Universe
2014-08-26 10:32:35,904 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 11
2014-08-26 10:32:35,905 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: Directed
